date_id,full_date,month,year,quarter,season,is_holiday,month_name
201701,2017-01-01,1,2017,1,Winter,False,January
201702,2017-02-01,2,2017,1,Winter,False,February
201703,2017-03-01,3,2017,1,Spring,False,March
201704,2017-04-01,4,2017,2,Spring,False,April
201705,2017-05-01,5,2017,2,Spring,False,May
201706,2017-06-01,6,2017,2,Summer,False,June
201707,2017-07-01,7,2017,3,Summer,True,July
201708,2017-08-01,8,2017,3,Summer,False,August
201709,2017-09-01,9,2017,3,Fall,False,September
201710,2017-10-01,10,2017,4,Fall,False,October
201711,2017-11-01,11,2017,4,Fall,False,November
201712,2017-12-01,12,2017,4,Winter,True,December
201801,2018-01-01,1,2018,1,Winter,False,January
201802,2018-02-01,2,2018,1,Winter,False,February
201803,2018-03-01,3,2018,1,Spring,False,March
201804,2018-04-01,4,2018,2,Spring,False,April
201805,2018-05-01,5,2018,2,Spring,False,May
201806,2018-06-01,6,2018,2,Summer,False,June
201807,2018-07-01,7,2018,3,Summer,True,July
201808,2018-08-01,8,2018,3,Summer,False,August
201809,2018-09-01,9,2018,3,Fall,False,September
201810,2018-10-01,10,2018,4,Fall,False,October
201811,2018-11-01,11,2018,4,Fall,False,November
201812,2018-12-01,12,2018,4,Winter,True,December
